Company;Country;Platform;Bachelor;Masters;PhD;Communication;English;German;Statistics;ML;DL;AI;Optimization;Analytics;Visualization;Python;R;Matlab;SAS;SQL;Spark;Hadoop;Docker;Keras;Tensorflow;Pytorch;NLP;AWS;Azure
Client Server;Austria;Glassdoor;0;0;0;0;1;1;0;1;1;1;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0
Solgenium;Austria;Glassdoor;1;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Mostly AI;Austria;Glassdoor;0;0;0;0;1;1;0;0;1;1;0;1;0;1;1;0;0;0;1;0;0;0;1;0;0;0;0
Sberbank;Austria;Glassdoor;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
Swarowski;Austria;Glassdoor;0;0;0;1;1;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;0;0;1;0;0;0;0
IST Austria;Austria;Glassdoor;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0
7LYTIX;Austria;Glassdoor;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;0;1;1;1;0;0;0
KBC Energy;Austria;Glassdoor;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0
Capgemini;Austria;Glassdoor;1;0;0;0;1;1;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
Hays;Austria;Glassdoor;1;0;0;0;1;1;0;0;0;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
Sibling;Austria;Linkedin;1;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Moyyn;Austria;Linkedin;0;0;0;1;0;0;1;1;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0
softwareXperts;Austria;Linkedin;1;0;0;1;1;1;0;1;0;0;0;0;0;1;1;0;0;1;1;1;0;0;0;0;0;0;0
KMPG Deutschland;Austria;Linkedin;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Technolopolis Plc;Austria;Linkedin;1;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0
Sartorius;Austria;Linkedin;0;1;0;1;1;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0
RateBoard;Austria;Linkedin;1;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
Software Competence Competence Hagenberg;Austria;Linkedin;0;1;0;0;1;1;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0
FERCHAU;Austria;Linkedin;1;0;0;0;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0
